"datetime","dataset","score","train_score","seed","eta","gamma","max_depth","min_child_weight","subsample","colsample_bytree","num_parallel_tree","objective","nrounds","early.stop.round"
"2016-03-20 01-09-46","1hot",0.738994743450071,0.835269776496227,1234,0.005,0,5,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 01-30-47","1hot",0.78253954956836,0.843166394481496,1234,0.005,0,5,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 01-44-15","1hot",0.676973290276679,0.89512111860656,1234,0.005,0,5,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 01-56-40","1hot",0.724381210542773,0.843471621558712,1234,0.005,0,5,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 02-08-03","1hot",0.768950647394308,0.875722816367406,1234,0.01,0,5,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 02-17-47","1hot",0.824864565217201,0.865818495043368,1234,0.01,0,5,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 02-27-13","1hot",0.823209618759114,0.885015791086805,1234,0.01,0,5,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 02-38-12","1hot",0.73128140787262,0.861148851788135,1234,0.01,0,5,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 02-44-26","1hot",0.840499987760683,0.887393629042034,1234,0.02,0,5,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 02-52-33","1hot",0.841323769387661,0.872591311042866,1234,0.02,0,5,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 03-00-05","1hot",0.810944577676535,0.89406813664265,1234,0.02,0,5,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 03-08-01","1hot",0.839450980842846,0.882830720099494,1234,0.02,0,5,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 03-15-44","1hot",0.663699438962088,0.861459265093846,1234,0.005,0,8,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 03-24-54","1hot",0.699472979922566,0.85452447165855,1234,0.005,0,8,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 03-33-54","1hot",0.671570364854043,0.910714088295454,1234,0.005,0,8,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 03-45-19","1hot",0.719153405706553,0.855948988384014,1234,0.005,0,8,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 03-55-36","1hot",0.838773171741078,0.857652851130709,1234,0.01,0,8,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 04-06-47","1hot",0.827628203477336,0.910546671922045,1234,0.01,0,8,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 04-20-37","1hot",0.759006300133846,0.910574107935915,1234,0.01,0,8,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 04-31-08","1hot",0.744001935505938,0.866444041168254,1234,0.01,0,8,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 04-38-55","1hot",0.837449975433942,0.92228072106844,1234,0.02,0,8,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 04-48-20","1hot",0.832546425988267,0.909284669923831,1234,0.02,0,8,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 04-58-11","1hot",0.836586309023378,0.919843649007421,1234,0.02,0,8,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 05-08-38","1hot",0.835094216514685,0.920123976268547,1234,0.02,0,8,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 05-18-52","1hot",0.763790869119737,0.861863265008317,1234,0.005,0,11,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 05-33-22","1hot",0.704109060675395,0.919737499796011,1234,0.005,0,11,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 05-50-44","1hot",0.6732998013078,0.877317722782527,1234,0.005,0,11,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 06-01-08","1hot",0.690730590064035,0.920819700397545,1234,0.005,0,11,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 06-13-46","1hot",0.737935632720969,0.904544397886066,1234,0.01,0,11,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 06-24-02","1hot",0.743927532023299,0.914817786073639,1234,0.01,0,11,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 06-34-58","1hot",0.72553094367102,0.886673790544195,1234,0.01,0,11,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 06-43-46","1hot",0.806796785572847,0.893165805737559,1234,0.01,0,11,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 06-54-45","1hot",0.821108139848914,0.944973598864104,1234,0.02,0,11,1,0.6,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 07-04-55","1hot",0.829762311459877,0.936641176042469,1234,0.02,0,11,1,0.6,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 07-15-41","1hot",0.799251838502065,0.931000733648709,1234,0.02,0,11,1,0.8,0.5,1,"binary:logistic",5e+06,100
"2016-03-20 07-24-01","1hot",0.824229468509111,0.921560270149413,1234,0.02,0,11,1,0.8,0.7,1,"binary:logistic",5e+06,100
"2016-03-20 09-04-00","blend",0.824812106447672,0.901507854272134,1234,0.02,0,6,1,0.9,0.85,1,"binary:logistic",1e+05,100
"2016-03-20 09-45-18","blend",0.807133781145419,0.894017494646756,1234,0.02,0,6,1,0.9,0.85,1,"binary:logistic",1e+05,100
"2016-04-07 19-10-28","1hot",0.840352539960642,0.888876576212771,1234,0.0202048,0,5,1,0.6815,0.701,1,"binary:logistic",560,100
"2016-04-07 22-47-28","1hot",0.841181735481984,0.888604520052664,1234,0.02,0,5,1,0.6,0.7,1,"binary:logistic",560,100
"2016-04-07 23-13-47","1hot",0.840301192200553,0.876674546212747,1234,0.01,0,5,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-07 23-26-36","1hot",0.840485610661057,0.87820404877703,1234,0.01,0,5,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-07 23-38-25","1hot",0.798665612549409,0.890524836124286,1234,0.01,0,5,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-07 23-50-48","1hot",0.840325135819993,0.873187504207265,1234,0.01,0,5,1,0.7,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-03-08","1hot",0.84076550991035,0.890232192139648,1234,0.02,0,5,1,0.6,0.6,1,"binary:logistic",50000,100
"2016-04-08 00-10-40","1hot",0.840312853246362,0.888381621506986,1234,0.02,0,5,1,0.6,0.7,1,"binary:logistic",50000,100
"2016-04-08 00-18-52","1hot",0.840620240872675,0.878386108619131,1234,0.02,0,5,1,0.7,0.6,1,"binary:logistic",50000,100
"2016-04-08 00-26-55","1hot",0.840114982009661,0.884269276979098,1234,0.02,0,5,1,0.7,0.7,1,"binary:logistic",50000,100
